absolute_error_m3,cluster_count,cluster_distribution_top10,dataset,eps,min_points,noise_points,noise_ratio,pdi_status,percent_error,points_after_outlier,points_after_voxel,points_retained,selected_cluster_ids,timing_memory,volume_m3,voxel_loss_ratio,voxel_size
34.5525,59,"[9817, 8171, 1843, 1149, 408, 361, 256, 170, 109, 74]",set1,0.45,15,534,0.021886,ok,28.856272,398562,24399,17988,"[11, 0]","[{""stage"": ""voxel_down_sample"", ""time_seconds"": 0.039774, ""python_tracemalloc_current_mb"": 5.3e-05, ""python_tracemalloc_peak_mb"": 6.1e-05}, {""stage"": ""dbscan"", ""time_seconds"": 0.239324, ""python_tracemalloc_current_mb"": 0.186356, ""python_tracemalloc_peak_mb"": 0.186798}]",85.1875,0.938782,0.07
34.7244,42,"[9808, 8161, 1843, 1149, 408, 361, 256, 170, 74, 71]",set1,0.45,20,899,0.036846,ok,28.999833,398562,24399,17969,"[9, 0]","[{""stage"": ""voxel_down_sample"", ""time_seconds"": 0.03368, ""python_tracemalloc_current_mb"": 5.3e-05, ""python_tracemalloc_peak_mb"": 6.1e-05}, {""stage"": ""dbscan"", ""time_seconds"": 0.256566, ""python_tracemalloc_current_mb"": 0.186356, ""python_tracemalloc_peak_mb"": 0.186798}]",85.0156,0.938782,0.07
34.7244,35,"[9808, 8161, 1843, 1149, 408, 361, 256, 170, 74, 71]",set1,0.45,25,1064,0.043608,ok,28.999833,398562,24399,17969,"[9, 0]","[{""stage"": ""voxel_down_sample"", ""time_seconds"": 0.029171, ""python_tracemalloc_current_mb"": 5.3e-05, ""python_tracemalloc_peak_mb"": 6.1e-05}, {""stage"": ""dbscan"", ""time_seconds"": 0.247256, ""python_tracemalloc_current_mb"": 0.186356, ""python_tracemalloc_peak_mb"": 0.186798}]",85.0156,0.938782,0.07
34.7244,29,"[9808, 8161, 1828, 1040, 408, 361, 256, 170, 74, 71]",set1,0.45,30,1326,0.054346,ok,28.999833,398562,24399,17969,"[9, 0]","[{""stage"": ""voxel_down_sample"", ""time_seconds"": 0.027225, ""python_tracemalloc_current_mb"": 5.3e-05, ""python_tracemalloc_peak_mb"": 6.1e-05}, {""stage"": ""dbscan"", ""time_seconds"": 0.268601, ""python_tracemalloc_current_mb"": 0.186356, ""python_tracemalloc_peak_mb"": 0.186798}]",85.0156,0.938782,0.07
33.6462,73,"[9823, 8292, 1843, 1192, 408, 361, 256, 178, 109, 74]",set1,0.5,10,269,0.011025,ok,28.099382,398562,24399,18115,"[12, 0]","[{""stage"": ""voxel_down_sample"", ""time_seconds"": 0.031491, ""python_tracemalloc_current_mb"": 5.3e-05, ""python_tracemalloc_peak_mb"": 6.1e-05}, {""stage"": ""dbscan"", ""time_seconds"": 0.290408, ""python_tracemalloc_current_mb"": 0.186356, ""python_tracemalloc_peak_mb"": 0.186798}]",86.0938,0.938782,0.07
33.7712,55,"[9820, 8292, 1843, 1192, 408, 361, 256, 174, 109, 74]",set1,0.5,15,490,0.020083,ok,28.203775,398562,24399,18112,"[10, 0]","[{""stage"": ""voxel_down_sample"", ""time_seconds"": 0.030078, ""python_tracemalloc_current_mb"": 5.3e-05, ""python_tracemalloc_peak_mb"": 6.1e-05}, {""stage"": ""dbscan"", ""time_seconds"": 0.303741, ""python_tracemalloc_current_mb"": 0.186356, ""python_tracemalloc_peak_mb"": 0.186798}]",85.9688,0.938782,0.07
33.7712,38,"[9818, 8290, 1843, 1192, 408, 361, 256, 174, 109, 74]",set1,0.5,20,817,0.033485,ok,28.203775,398562,24399,18108,"[8, 0]","[{""stage"": ""voxel_down_sample"", ""time_seconds"": 0.029933, ""python_tracemalloc_current_mb"": 5.3e-05, ""python_tracemalloc_peak_mb"": 6.1e-05}, {""stage"": ""dbscan"", ""time_seconds"": 0.306389, ""python_tracemalloc_current_mb"": 0.186356, ""python_tracemalloc_peak_mb"": 0.186798}]",85.9688,0.938782,0.07
33.7712,33,"[9818, 8290, 1843, 1183, 408, 361, 256, 174, 74, 70]",set1,0.5,25,989,0.040534,ok,28.203775,398562,24399,18108,"[8, 0]","[{""stage"": ""voxel_down_sample"", ""time_seconds"": 0.031292, ""python_tracemalloc_current_mb"": 5.3e-05, ""python_tracemalloc_peak_mb"": 6.1e-05}, {""stage"": ""dbscan"", ""time_seconds"": 0.298782, ""python_tracemalloc_current_mb"": 0.186356, ""python_tracemalloc_peak_mb"": 0.186798}]",85.9688,0.938782,0.07
33.7712,27,"[9818, 8289, 1829, 1160, 408, 361, 256, 174, 74, 70]",set1,0.5,30,1198,0.0491,ok,28.203775,398562,24399,18107,"[8, 0]","[{""stage"": ""voxel_down_sample"", ""time_seconds"": 0.035871, ""python_tracemalloc_current_mb"": 5.3e-05, ""python_tracemalloc_peak_mb"": 6.1e-05}, {""stage"": ""dbscan"", ""time_seconds"": 0.332287, ""python_tracemalloc_current_mb"": 0.186356, ""python_tracemalloc_peak_mb"": 0.186798}]",85.9688,0.938782,0.07
89.8025,50,"[9816, 3979, 1817, 1713, 343, 220, 215, 143, 140, 129]",set2,0.25,10,37,0.001819,ok,74.997912,364166,20344,13795,"[20, 15]","[{""stage"": ""voxel_down_sample"", ""time_seconds"": 0.027701, ""python_tracemalloc_current_mb"": 5.3e-05, ""python_tracemalloc_peak_mb"": 6.1e-05}, {""stage"": ""dbscan"", ""time_seconds"": 0.400261, ""python_tracemalloc_current_mb"": 0.155418, ""python_tracemalloc_peak_mb"": 0.155861}]",29.9375,0.944135,0.02
90.2556,44,"[9792, 3978, 1817, 1713, 343, 220, 215, 143, 140, 129]",set2,0.25,15,136,0.006685,ok,75.376315,364166,20344,13770,"[19, 14]","[{""stage"": ""voxel_down_sample"", ""time_seconds"": 0.021861, ""python_tracemalloc_current_mb"": 9.9e-05, ""python_tracemalloc_peak_mb"": 9.9e-05}, {""stage"": ""dbscan"", ""time_seconds"": 0.396243, ""python_tracemalloc_current_mb"": 0.155418, ""python_tracemalloc_peak_mb"": 0.155861}]",29.4844,0.944135,0.02
90.2556,39,"[9792, 3970, 1817, 1713, 343, 220, 215, 143, 140, 129]",set2,0.25,20,227,0.011158,ok,75.376315,364166,20344,13762,"[18, 14]","[{""stage"": ""voxel_down_sample"", ""time_seconds"": 0.021002, ""python_tracemalloc_current_mb"": 5.3e-05, ""python_tracemalloc_peak_mb"": 6.1e-05}, {""stage"": ""dbscan"", ""time_seconds"": 0.404126, ""python_tracemalloc_current_mb"": 0.155418, ""python_tracemalloc_peak_mb"": 0.155861}]",29.4844,0.944135,0.02
90.2556,36,"[9792, 3964, 1817, 1713, 343, 220, 215, 143, 140, 129]",set2,0.25,25,312,0.015336,ok,75.376315,364166,20344,13756,"[16, 12]","[{""stage"": ""voxel_down_sample"", ""time_seconds"": 0.023566, ""python_tracemalloc_current_mb"": 5.3e-05, ""python_tracemalloc_peak_mb"": 6.1e-05}, {""stage"": ""dbscan"", ""time_seconds"": 0.417091, ""python_tracemalloc_current_mb"": 0.155418, ""python_tracemalloc_peak_mb"": 0.155861}]",29.4844,0.944135,0.02
96.3494,34,"[6739, 3952, 3053, 1817, 1713, 343, 220, 215, 143, 140]",set2,0.25,30,401,0.019711,ok,80.465509,364166,20344,10691,"[16, 12]","[{""stage"": ""voxel_down_sample"", ""time_seconds"": 0.028821, ""python_tracemalloc_current_mb"": 5.3e-05, ""python_tracemalloc_peak_mb"": 6.1e-05}, {""stage"": ""dbscan"", ""time_seconds"": 0.400707, ""python_tracemalloc_current_mb"": 0.155418, ""python_tracemalloc_peak_mb"": 0.155861}]",23.3906,0.944135,0.02
88.0838,45,"[10031, 3989, 1817, 1713, 343, 271, 253, 220, 161, 143]",set2,0.3,10,35,0.00172,ok,73.562552,364166,20344,14020,"[14, 12]","[{""stage"": ""voxel_down_sample"", ""time_seconds"": 0.026304, ""python_tracemalloc_current_mb"": 5.3e-05, ""python_tracemalloc_peak_mb"": 6.1e-05}, {""stage"": ""dbscan"", ""time_seconds"": 0.535961, ""python_tracemalloc_current_mb"": 0.155418, ""python_tracemalloc_peak_mb"": 0.155861}]",31.6562,0.944135,0.02
88.0838,40,"[10031, 3989, 1817, 1713, 343, 271, 253, 220, 161, 143]",set2,0.3,15,92,0.004522,ok,73.562552,364166,20344,14020,"[13, 11]","[{""stage"": ""voxel_down_sample"", ""time_seconds"": 0.033964, ""python_tracemalloc_current_mb"": 5.3e-05, ""python_tracemalloc_peak_mb"": 6.1e-05}, {""stage"": ""dbscan"", ""time_seconds"": 0.494902, ""python_tracemalloc_current_mb"": 0.155418, ""python_tracemalloc_peak_mb"": 0.155861}]",31.6562,0.944135,0.02
88.0838,35,"[10031, 3989, 1817, 1713, 343, 271, 253, 220, 161, 143]",set2,0.3,20,175,0.008602,ok,73.562552,364166,20344,14020,"[13, 11]","[{""stage"": ""voxel_down_sample"", ""time_seconds"": 0.025659, ""python_tracemalloc_current_mb"": 5.3e-05, ""python_tracemalloc_peak_mb"": 6.1e-05}, {""stage"": ""dbscan"", ""time_seconds"": 0.510813, ""python_tracemalloc_current_mb"": 0.155418, ""python_tracemalloc_peak_mb"": 0.155861}]",31.6562,0.944135,0.02
88.0838,32,"[10031, 3989, 1817, 1713, 343, 271, 253, 220, 161, 143]",set2,0.3,25,238,0.011699,ok,73.562552,364166,20344,14020,"[12, 10]","[{""stage"": ""voxel_down_sample"", ""time_seconds"": 0.019709, ""python_tracemalloc_current_mb"": 5.3e-05, ""python_tracemalloc_peak_mb"": 6.1e-05}, {""stage"": ""dbscan"", ""time_seconds"": 0.497479, ""python_tracemalloc_current_mb"": 0.155418, ""python_tracemalloc_peak_mb"": 0.155861}]",31.6562,0.944135,0.02
88.0838,29,"[10031, 3989, 1817, 1713, 343, 271, 253, 220, 161, 143]",set2,0.3,30,315,0.015484,ok,73.562552,364166,20344,14020,"[12, 10]","[{""stage"": ""voxel_down_sample"", ""time_seconds"": 0.029704, ""python_tracemalloc_current_mb"": 5.3e-05, ""python_tracemalloc_peak_mb"": 6.1e-05}, {""stage"": ""dbscan"", ""time_seconds"": 0.53371, ""python_tracemalloc_current_mb"": 0.155418, ""python_tracemalloc_peak_mb"": 0.155861}]",31.6562,0.944135,0.02
79.1619,36,"[12008, 4223, 1713, 343, 271, 253, 161, 143, 125, 97]",set2,0.35,10,34,0.001671,ok,66.111492,364166,20344,16231,"[12, 11]","[{""stage"": ""voxel_down_sample"", ""time_seconds"": 0.021529, ""python_tracemalloc_current_mb"": 5.3e-05, ""python_tracemalloc_peak_mb"": 6.1e-05}, {""stage"": ""dbscan"", ""time_seconds"": 0.6648, ""python_tracemalloc_current_mb"": 0.155418, ""python_tracemalloc_peak_mb"": 0.155861}]",40.5781,0.944135,0.02
79.1619,32,"[12008, 4223, 1713, 343, 271, 253, 161, 143, 125, 97]",set2,0.35,15,77,0.003785,ok,66.111492,364166,20344,16231,"[11, 10]","[{""stage"": ""voxel_down_sample"", ""time_seconds"": 0.02851, ""python_tracemalloc_current_mb"": 5.3e-05, ""python_tracemalloc_peak_mb"": 6.1e-05}, {""stage"": ""dbscan"", ""time_seconds"": 0.637494, ""python_tracemalloc_current_mb"": 0.155418, ""python_tracemalloc_peak_mb"": 0.155861}]",40.5781,0.944135,0.02
79.1619,28,"[11995, 4223, 1713, 343, 271, 253, 161, 143, 125, 97]",set2,0.35,20,158,0.007766,ok,66.111492,364166,20344,16218,"[11, 10]","[{""stage"": ""voxel_down_sample"", ""time_seconds"": 0.021359, ""python_tracemalloc_current_mb"": 5.3e-05, ""python_tracemalloc_peak_mb"": 6.1e-05}, {""stage"": ""dbscan"", ""time_seconds"": 0.642482, ""python_tracemalloc_current_mb"": 0.155418, ""python_tracemalloc_peak_mb"": 0.155861}]",40.5781,0.944135,0.02
79.1619,26,"[11995, 4223, 1713, 343, 271, 253, 161, 143, 125, 97]",set2,0.35,25,200,0.009831,ok,66.111492,364166,20344,16218,"[11, 10]","[{""stage"": ""voxel_down_sample"", ""time_seconds"": 0.028588, ""python_tracemalloc_current_mb"": 5.3e-05, ""python_tracemalloc_peak_mb"": 6.1e-05}, {""stage"": ""dbscan"", ""time_seconds"": 0.640307, ""python_tracemalloc_current_mb"": 0.155418, ""python_tracemalloc_peak_mb"": 0.155861}]",40.5781,0.944135,0.02
79.1619,23,"[11995, 4223, 1713, 343, 271, 253, 161, 143, 125, 97]",set2,0.35,30,289,0.014206,ok,66.111492,364166,20344,16218,"[11, 10]","[{""stage"": ""voxel_down_sample"", ""time_seconds"": 0.024265, ""python_tracemalloc_current_mb"": 5.3e-05, ""python_tracemalloc_peak_mb"": 6.1e-05}, {""stage"": ""dbscan"", ""time_seconds"": 0.645274, ""python_tracemalloc_current_mb"": 0.155418, ""python_tracemalloc_peak_mb"": 0.155861}]",40.5781,0.944135,0.02
76.1462,32,"[12294, 4229, 2076, 253, 161, 143, 125, 97, 85, 80]",set2,0.4,10,28,0.001376,ok,63.592951,364166,20344,16523,"[8, 11]","[{""stage"": ""voxel_down_sample"", ""time_seconds"": 0.023753, ""python_tracemalloc_current_mb"": 5.3e-05, ""python_tracemalloc_peak_mb"": 6.1e-05}, {""stage"": ""dbscan"", ""time_seconds"": 0.806582, ""python_tracemalloc_current_mb"": 0.155418, ""python_tracemalloc_peak_mb"": 0.155861}]",43.5938,0.944135,0.02
76.1462,28,"[12294, 4227, 2076, 253, 161, 143, 125, 97, 85, 80]",set2,0.4,15,73,0.003588,ok,63.592951,364166,20344,16521,"[7, 10]","[{""stage"": ""voxel_down_sample"", ""time_seconds"": 0.029159, ""python_tracemalloc_current_mb"": 5.3e-05, ""python_tracemalloc_peak_mb"": 6.1e-05}, {""stage"": ""dbscan"", ""time_seconds"": 0.809516, ""python_tracemalloc_current_mb"": 0.155418, ""python_tracemalloc_peak_mb"": 0.155861}]",43.5938,0.944135,0.02
76.1462,25,"[12294, 4227, 2076, 253, 161, 143, 125, 97, 85, 80]",set2,0.4,20,126,0.006193,ok,63.592951,364166,20344,16521,"[7, 10]","[{""stage"": ""voxel_down_sample"", ""time_seconds"": 0.023523, ""python_tracemalloc_current_mb"": 5.3e-05, ""python_tracemalloc_peak_mb"": 6.1e-05}, {""stage"": ""dbscan"", ""time_seconds"": 0.835592, ""python_tracemalloc_current_mb"": 0.155418, ""python_tracemalloc_peak_mb"": 0.155861}]",43.5938,0.944135,0.02
78.9431,25,"[12016, 4227, 2076, 278, 253, 161, 143, 125, 97, 85]",set2,0.4,25,148,0.007275,ok,65.928762,364166,20344,16243,"[11, 10]","[{""stage"": ""voxel_down_sample"", ""time_seconds"": 0.033843, ""python_tracemalloc_current_mb"": 5.3e-05, ""python_tracemalloc_peak_mb"": 6.1e-05}, {""stage"": ""dbscan"", ""time_seconds"": 0.899721, ""python_tracemalloc_current_mb"": 0.155418, ""python_tracemalloc_peak_mb"": 0.155861}]",40.7969,0.944135,0.02
78.9431,22,"[12016, 4227, 2076, 278, 253, 161, 143, 125, 97, 85]",set2,0.4,30,225,0.01106,ok,65.928762,364166,20344,16243,"[11, 10]","[{""stage"": ""voxel_down_sample"", ""time_seconds"": 0.03349, ""python_tracemalloc_current_mb"": 5.3e-05, ""python_tracemalloc_peak_mb"": 6.1e-05}, {""stage"": ""dbscan"", ""time_seconds"": 0.860659, ""python_tracemalloc_current_mb"": 0.155418, ""python_tracemalloc_peak_mb"": 0.155861}]",40.7969,0.944135,0.02
75.5525,30,"[12365, 4229, 2076, 253, 161, 143, 125, 97, 85, 80]",set2,0.45,10,28,0.001376,ok,63.097127,364166,20344,16594,"[8, 11]","[{""stage"": ""voxel_down_sample"", ""time_seconds"": 0.02107, ""python_tracemalloc_current_mb"": 5.3e-05, ""python_tracemalloc_peak_mb"": 6.1e-05}, {""stage"": ""dbscan"", ""time_seconds"": 0.961851, ""python_tracemalloc_current_mb"": 0.155418, ""python_tracemalloc_peak_mb"": 0.155861}]",44.1875,0.944135,0.02
75.5525,27,"[12358, 4229, 2076, 253, 161, 143, 125, 97, 85, 80]",set2,0.45,15,68,0.003343,ok,63.097127,364166,20344,16587,"[7, 10]","[{""stage"": ""voxel_down_sample"", ""time_seconds"": 0.032777, ""python_tracemalloc_current_mb"": 5.3e-05, ""python_tracemalloc_peak_mb"": 6.1e-05}, {""stage"": ""dbscan"", ""time_seconds"": 1.011486, ""python_tracemalloc_current_mb"": 0.155418, ""python_tracemalloc_peak_mb"": 0.155861}]",44.1875,0.944135,0.02
