component_id,selected,point_count,point_ratio_to_largest,bbox_volume_m3,extent_x,extent_y,extent_z,obb_x,obb_y,obb_z,axis_ratio,convex_hull_volume_m3
31,False,33,0.0007250994265122718,0.009872235006823092,0.1699482995965571,0.40294025609069806,0.14416439154898175,0.4046926449845406,0.18325943808391576,0.06528013111187425,2.7950054223604432,0.0018179658683183074
28,False,30,0.0006591812968293379,0.006850419200026389,0.33268851470214855,0.34097060725437167,0.06038963393822483,0.3865945859408547,0.3107862574735868,0.02159684968652207,5.646177746385502,0.0007875878372982219
16,False,30,0.0006591812968293379,0.004356811429580246,0.08984828708556947,0.33813884737541144,0.14340486780232609,0.340658005675315,0.15909682160112848,0.038462894299336345,3.763442335337742,0.0007840013092019504
39,False,29,0.0006372085869350267,0.004673468584679226,0.761462036945475,0.16059599659502988,0.0382169792587117,0.7609345439829767,0.08996911051378256,0.025245996669402374,19.924704979708643,0.0006170789094578087
33,False,29,0.0006372085869350267,0.007204638269460492,0.33117259481353845,0.2442151801495358,0.08908101033327742,0.3280906233136829,0.23641174206766088,0.09850607938300729,3.717656474421737,0.0024652650876421257
27,False,27,0.0005932631671464042,0.022522307461245016,0.19220954575679627,0.1503482660148967,0.7793625027277034,0.8092224460717294,0.052847685311179615,0.03226155090165114,5.183714607326985,0.0004760136472365059
37,False,26,0.0005712904572520929,0.02588439626912309,0.28153793680698413,0.41965339438621463,0.21908385590982626,0.45749030725360645,0.22341714931198975,0.15307031517299563,1.915492096135745,0.004136619833140231
2,False,26,0.0005712904572520929,0.018741382751775386,0.20881533019848053,0.23794178561279322,0.3771972645993229,0.45410576986998064,0.2380832450772872,0.06476480389590701,1.806367684981721,0.001863440572950922
6,False,24,0.0005273450374634704,0.011603020075567636,0.23363828834770217,0.39773418581817666,0.12486309824586295,0.39511596411647465,0.2070092939723031,0.08106071814368597,3.1853621398614838,0.0020259104896586154
7,False,22,0.0004833996176748478,0.004705173866958977,0.08418468120323806,0.26588704482599335,0.21020615457933367,0.2548967275443924,0.1743466115105137,0.043322684349226676,3.1583779973471744,0.0006652255578007918
35,False,20,0.0004394541978862253,0.0029179165645338155,0.164836930915794,0.19224405766510033,0.09208002427614215,0.2010261787471248,0.16103915345829323,0.0829994328982136,2.087793299104403,0.0007640189660217437
38,False,20,0.0004394541978862253,0.032967646349756366,0.5822160437747514,0.20327193216169315,0.27856487786259376,0.6408345111200621,0.17528304961258642,0.06218575980954283,2.8642225101280894,0.0028720385405091842
22,False,20,0.0004394541978862253,0.004577595896276802,0.17758944205387106,0.1566146081255564,0.1645841618642806,0.2503129088584561,0.13762829686848788,0.06426374464908458,1.1339264209089572,0.0006675421466989804
26,False,20,0.0004394541978862253,0.0035224372586033577,0.13592707826683048,0.2553444400349232,0.101487108372591,0.2992132729139142,0.10652967815817586,0.04558240193656252,2.5160283323619157,0.0005490437185786064
